Reference ID,Category,Product Title,Description,MRP,Base Price,,
576,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Pink," 3999",3959,,
577,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Pink," 3999",3959,,
578,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Pink," 3999",3959,,
579,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Pink," 3999",3959,,
580,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS Pink," 3999",3959,,
581,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Black," 3999",3959,,
582,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Black," 3999",3959,,
583,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Black," 3999",3959,,
584,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Black," 3999",3959,,
585,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Black," 3999",3959,,
586,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Black," 3999",3959,,
587,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS Black," 3999",3959,,
588,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Black," 3999",3959,,
589,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Black," 3999",3959,,
590,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Black," 3999",3959,,
591,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Black," 3999",3959,,
592,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Black," 3999",3959,,
593,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Black," 3999",3959,,
594,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS Black," 3999",3959,,
595,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Brown," 3999",3959,,
596,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Brown," 3999",3959,,
597,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Brown," 3999",3959,,
598,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Brown," 3999",3959,,
599,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Brown," 3999",3959,,
600,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Brown," 3999",3959,,
601,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS Brown," 3999",3959,,
602,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Cherry," 3999",3959,,
603,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Cherry," 3999",3959,,
604,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Cherry," 3999",3959,,
605,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Cherry," 3999",3959,,
606,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Cherry," 3999",3959,,
607,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Cherry," 3999",3959,,
614,Home & Kitchen,Shopper52 Drill Machine ,Shopper52 10mm Drill Machine-13Pcs Drill Bit Set & Tool Kit- DRL13BTHOB    ," 3999",3959,,
615,Home & Kitchen,Shopper52 Drill Machine ,Shopper52 10mm Drill M/c-13Pc DrillBit Set & Screw SpeedOut-DRL13BTSOUT    ," 3999",3959,,
630,Home & Kitchen,Screwdriver Set,Shopper52 and 21 Pcs Toolkit Screwdriver Set - DRL13B21PC    ," 3999",3959,,
631,Home & Kitchen,Portable Wardrobe,Shopper52 Fancy & Portable Collapsible Wardrobe - 88130A-BR    ," 3999",3959,,
632,Home & Kitchen,Portable Wardrobe,Shopper52 Fancy & Portable Collapsible Wardrobe - 88130A-MR    ," 3999",3959,,
633,Home & Kitchen,Portable Wardrobe,Shopper52 Fancy Fabric Collapsible Collapsible Wardrobe - 88130A-PR    ," 3999",3959,,
638,Home & Kitchen,Drill set tool kit,shopper 52 10mm13 Pcs Drill Bit Set and 41 Pcs Toolkit Screwdriver    ," 3999",3959,,
764,Home & Kitchen,Drill Machine &Toolkit,Shopper52 Drill Machine with 13Pcs Screwdriver Set," 3999",3959,,
765,Home & Kitchen,Drill Machine &Toolkit,Shopper52 Drill Machine with 13Pcs Screwdriver Set," 3999",3959,,
766,Home & Kitchen,drill machine &Toolkit,Shopper52 Buy Drill Machine with 13Pcs Drill Bit Set andGrip Wrench Set ," 3999",3959,,
772,Home & Kitchen,Drill machine &Toolkit,Electric Drill Machine & 41 In 1 Tool Kit Screwdriver & Wrench Set ," 3999",3959,,
781,Home & Kitchen,Drill Machine - 13 PC SET,Shoppers 52 13 piece powerful drill machine," 3999",3959,,
783,Home & Kitchen,Electric Drill Machine,10mm Powerful Electric Drill Machine with 48in1 Wrench Spanner Set    ," 3999",3959,,
784,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS  Brown," 3999",3959,,
785,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Brown," 3999",3959,,
786,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Brown," 3999",3959,,
787,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Brown," 3999",3959,,
788,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Brown," 3999",3959,,
789,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Brown," 3999",3959,,
790,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Brown," 3999",3959,,
791,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Brown," 3999",3959,,
